
COLUMNS                                                                                       IS_NULL    SIZE TYPE      
=============================================================================== ======= ======= ========= 
EMPRESA                                                                                       SIM           4 INTEGER   
COD_CADASTRO                                                                                  SIM           4 INTEGER   
RAZAO                                                                                         NÃO         60 VARCHAR   
FANTASIA                                                                                      NÃO         40 VARCHAR   
CNPJ                                                                                          NÃO         20 VARCHAR   
TIPO                                                                                          NÃO          1 VARCHAR   
ESTADUAL                                                                                      NÃO         20 VARCHAR   
MUNICIPAL                                                                                     NÃO         20 VARCHAR   
CAE                                                                                           NÃO         10 VARCHAR   
ENDERECO                                                                                      NÃO         40 VARCHAR   
BAIRRO                                                                                        NÃO         30 VARCHAR   
CEP                                                                                           NÃO         10 VARCHAR   
CIDADE                                                                                        NÃO         40 VARCHAR   
ESTADO                                                                                        NÃO         20 VARCHAR   
TELEFONE                                                                                      NÃO         20 VARCHAR   
FAX                                                                                           NÃO         20 VARCHAR   
CELULAR                                                                                       NÃO         20 VARCHAR   
CONTATO                                                                                       NÃO         40 VARCHAR   
ENDCOB                                                                                        NÃO         40 VARCHAR   
BAIRROCOB                                                                                     NÃO         30 VARCHAR   
CEPCOB                                                                                        NÃO         10 VARCHAR   
CIDADECOB                                                                                     NÃO         40 VARCHAR   
ESTADOCOB                                                                                     NÃO         20 VARCHAR   
OBS                                                                                           NÃO       1000 VARCHAR   
ATIVIDADE                                                                                     NÃO          4 INTEGER   
CORRESPONDENCIA                                                                               NÃO          1 VARCHAR   
TRIBUTACAO                                                                                    NÃO          1 VARCHAR   
COMISSAO                                                                                      NÃO          8 DOUBLE    
VENDEDOR                                                                                      NÃO          4 INTEGER   
REGISTRO                                                                                      NÃO          1 VARCHAR   
DESLOCAMENTO                                                                                  NÃO          8 DOUBLE    
ATIVO                                                                                         NÃO          1 VARCHAR   
MULTDISTANCIA                                                                                 NÃO          8 INT64     
MULTATIVIDADE                                                                                 NÃO          4 INTEGER   
CADASTRADO_POR                                                                                NÃO          2 SMALLINT  
CADASTRADO_EM                                                                                 NÃO          4 DATE      
ALTERADO_POR                                                                                  NÃO          2 SMALLINT  
ALTERADO_EM                                                                                   NÃO          4 DATE      
AREA                                                                                          NÃO          1 VARCHAR   
LIMITE                                                                                        NÃO          8 INT64     
ULTIMO_VENC                                                                                   NÃO          4 DATE      
ATUAL_VENC                                                                                    NÃO          4 DATE      
PRAZO                                                                                         NÃO          4 INTEGER   
TIPO_FATURA                                                                                   NÃO         10 VARCHAR   
DATANASC                                                                                      NÃO          5 VARCHAR   
DIA_FATUTA                                                                                    NÃO          2 VARCHAR   
VENC_CARTAO                                                                                   NÃO          4 DATE      
CARTAO_PROPRIO                                                                                NÃO          1 VARCHAR   
SENHACRED                                                                                     NÃO         12 VARCHAR   
NREND1                                                                                        NÃO         12 VARCHAR   
NREND1                                                                                        NÃO         12 VARCHAR   
NREND1                                                                                        NÃO         12 VARCHAR   
NREND1                                                                                        NÃO         12 VARCHAR   
NREND1                                                                                        NÃO         12 VARCHAR   
NREND1                                                                                        NÃO         12 VARCHAR   
NREND2                                                                                        NÃO         12 VARCHAR   
NREND2                                                                                        NÃO         12 VARCHAR   
NREND2                                                                                        NÃO         12 VARCHAR   
NREND2                                                                                        NÃO         12 VARCHAR   
NREND2                                                                                        NÃO         12 VARCHAR   
NREND2                                                                                        NÃO         12 VARCHAR   
E_MAIL                                                                                        NÃO        100 VARCHAR   
E_MAIL                                                                                        NÃO        100 VARCHAR   
E_MAIL                                                                                        NÃO        100 VARCHAR   
E_MAIL                                                                                        NÃO        100 VARCHAR   
E_MAIL                                                                                        NÃO        100 VARCHAR   
E_MAIL                                                                                        NÃO        100 VARCHAR   
COD_REG_TRIB                                                                                  SIM           1 VARCHAR   
TIPOCAD                                                                                       SIM           1 VARCHAR   
ST_LIMINAR                                                                                    SIM           1 VARCHAR   
COMPLEMENTAR                                                                                  NÃO         40 VARCHAR   
TABELA_PRECO                                                                                  SIM           4 INTEGER   
ID_CONVENIO                                                                                   NÃO          4 INTEGER   
NR_CONVENIO                                                                                   NÃO        100 VARCHAR   
NR_CONVENIO                                                                                   NÃO        100 VARCHAR   
NR_CONVENIO                                                                                   NÃO        100 VARCHAR   
NR_CONVENIO                                                                                   NÃO        100 VARCHAR   
NR_CONVENIO                                                                                   NÃO        100 VARCHAR   
NR_CONVENIO                                                                                   NÃO        100 VARCHAR   
COD_CTARDZ                                                                                    NÃO          4 INTEGER   
DIA_CORTE                                                                                     SIM           4 INTEGER   
DIA_VENCIMENTO                                                                                SIM           4 INTEGER   
PROTESTAR                                                                                     NÃO          1 VARCHAR   
DIAS_PROTESTAR                                                                                NÃO          4 INTEGER   
CPAIS                                                                                         SIM           4 VARCHAR   
TRILHA1                                                                                       NÃO         20 VARCHAR   
TRILHA2                                                                                       NÃO         20 VARCHAR   
TRILHA3                                                                                       NÃO         20 VARCHAR   

